visit_id,ship_id,name_as_written,date_from,date_to,date_confidence,anchorage,region,flag,flag_basis,purpose,outcome,visit_type,n_records,excerpt,citations,sources_disagree,status,drop_reason
v0204,(unnamed vessel),,1791-09-13,1791-09-13,exact,Santa Cruz,alta,,,supply,,port-call?,1,Letter on the founding of Mission Santa Cruz — received Gov. Romeu's copy of the Viceroy's order on the two new missions,"[{""type"": ""ca-record"", ""ca"": ""55"", ""doc"": ""208"", ""scan"": ""n156–n157"", ""url"": ""https://archive.org/details/bancarchca_81_17/page/n156""}]",,draft,"full-abstract check: Mission Santa Cruz founding letter, no vessel (class 1)"
v0405,(unnamed vessel),,1795-08-06,1795-08-06,exact,,alta,,,,,unlocated,1,"*Contratas de artesanos* — contracts (by order of Viceroy Branciforte, 19 June) with master artisans for New California:","[{""type"": ""ca-record"", ""ca"": ""16"", ""doc"": ""34"", ""scan"": ""n21–22"", ""url"": ""https://archive.org/details/168035972_79_18_2/page/n21""}]",,draft,"full-abstract check: artisan contracts, no vessel (class 1)"
v0796,(unnamed vessel),,1805-05-22,1805-05-22,exact,,alta,,,supply,,unlocated,1,"*Memorias para los presidios 1805* — situado accounts: Monterey $17,815 (+$4,388 in presidio's favor; incl. *condestable","[{""type"": ""ca-record"", ""ca"": ""16"", ""doc"": ""467"", ""scan"": ""n274–276"", ""url"": ""https://archive.org/details/168035972_79_18_2/page/n274""}]",,draft,"full-abstract check: situado accounts, no vessel (class 1)"
v1149,(unnamed vessel),,1819-03-23,1819-03-23,exact,,alta,,,,,unlocated,1,Third investigation — the stolen trunk & household concealment. Adds the theft of a baúl of valuables Fr. Olbés entruste,"[{""type"": ""ca-record"", ""ca"": ""17"", ""doc"": ""334"", ""scan"": ""n285–n290+"", ""url"": ""https://archive.org/details/168035972_79_19_2/page/n285""}]",,draft,"full-abstract check: stolen-trunk investigation, no vessel (class 1)"
v1338,(unnamed vessel),,1824-02-08,1824-02-08,exact,Monterey,alta,,,,,port-call?,1,"Order that ALL the Russians in the jurisdiction be transferred to Monterey with the greatest possible brevity, 'dándoles","[{""type"": ""ca-record"", ""ca"": ""18"", ""doc"": ""32"", ""scan"": ""n97–n98"", ""url"": ""https://archive.org/details/168035973_79_20/page/n97""}]",,draft,"full-abstract check: order transferring Russians overland to Monterey, no vessel (class 1)"
v1570,(unnamed vessel),,1829-01-08,1829-01-08,exact,,alta,,,,,unlocated,1,Rancho de las Pulgas / Buriburi claimed as Mission SF property (transcribes the padre's letter; proceed w/ prudence); tr,"[{""type"": ""ca-record"", ""ca"": ""48"", ""doc"": ""82"", ""scan"": ""n52–n53"", ""url"": ""https://archive.org/details/168036065_81_10/page/n52""}]",,draft,"full-abstract check: rancho property claim, no vessel (class 1)"
v1628,(unnamed vessel),,1829-09-10,1829-09-10,exact,,alta,,,,,unlocated,1,"A convict, Tomás de Aquino Servín, sentenced in Mexico to 8 yrs presidio in California for the homicide of José Reyes Al","[{""type"": ""ca-record"", ""ca"": ""18"", ""doc"": ""388"", ""scan"": ""n443"", ""url"": ""https://archive.org/details/168035973_79_20/page/n443""}]",,draft,"full-abstract check: convict sentence, no vessel (class 1)"
v1839,(unnamed vessel),,1835-03-15,1835-03-15,exact,Monterey,alta,usa,stated,otter|contraband,,port-call?,1,Causa de conspiración = the 1835 Apalátegui–Torres revolt against Gov. Figueroa (first 2 folios missing). Deposition of ,"[{""type"": ""ca-record"", ""ca"": ""18"", ""doc"": ""22"", ""scan"": ""n78–n87"", ""url"": ""https://archive.org/details/168035973_79_20/page/n78""}]",,draft,"full-abstract check: Apalategui-revolt causa, no vessel (class 1)"
v2116,(unnamed vessel),,1848-05-30,1848-05-30,exact,,alta,britain,stated,,,unlocated,1,(Doctº en inglés) Received the letter saying the Indian Gerónimo is to be interrogated at Los Angeles; since the offense,"[{""type"": ""ca-record"", ""ca"": ""63"", ""doc"": ""433"", ""scan"": ""n312"", ""url"": """"}]",,draft,"full-abstract check: Geronimo interrogation letter, no vessel (class 1)"
v0410,(unnamed vessel),,1795-09-05,1795-09-05,exact,,alta,usa,stated,,deserters,unlocated,1,BOSTON DESERTER at SB from vessel (El Fénix). 'Un mozo Bostonés de nación' wants to stay and convert; 'buenos padres y b,"[{""type"": ""ca-record"", ""ca"": ""8"", ""doc"": ""111"", ""scan"": ""n66"", ""url"": ""https://archive.org/details/168036075_79_10/page/n66""}]",,draft,merged into v0373 (the Phoenix episode: Boston deserter left at SB by the English Phoenix)
v0411,(unnamed vessel),,1795-09-07,1795-09-07,exact,Santa Bárbara,alta,usa,stated,,,port-call?,1,Transport to San Blas a Boston man left at Santa Barbara by English merchant Capt. Moore — skilled in nautical matters a,"[{""type"": ""ca-record"", ""ca"": ""14"", ""doc"": ""1012"", ""scan"": ""n231"", ""url"": ""https://archive.org/details/168036075_79_16_2/page/n231""}]",,draft,merged into v0373 (transport of the Boston man to San Blas; vessel = the Phoenix)
v2123,(unnamed vessel),,,,inferred,,alta,britain,stated,,,unlocated,1,Notes: 'un mozo Bostonés' + Captain M[?]ot's gift. Savage deduces vessel was English.,"[{""type"": ""ca-record"", ""ca"": ""8"", ""doc"": ""113"", ""scan"": ""n67"", ""url"": ""https://archive.org/details/168036075_79_10/page/n67""}]",,draft,merged into v0373 (Savage deduces vessel was English = the Phoenix)
v0125,(unnamed vessel),,1785-10-31,1785-10-31,exact,,alta,france,stated,supply,,unlocated,1,Baja naval-supply (mail-canoe on the Yaqui; carpenter/caulker needs; *fletes*); drought killing most of the cattle; a Fr,"[{""type"": ""ca-record"", ""ca"": ""3"", ""doc"": ""227"", ""scan"": ""n185–n187"", ""url"": ""https://archive.org/details/168036075_79_5_2/page/n185""}]",,draft,"LEAF-VERIFIED (C-A 3 n185-186, 2026-08-04): Arrillaga->Fages personal letter, Loreto, Baja mail-canoe/fletes logistics; only hull named = the Spanish frigate Princesa sailing Guaymas->San Blas (paper torn). No French vessel, no California visit (classes 1+6)"
v0443,loo choo,Loo Choo,1796,1796,year,San Francisco,alta,usa,inferred,otter,arrived,port-call?,1,"[Ogden itinerary] Loo Choo, 1847: San Francisco 1796","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Loo Choo, 1847'"", ""note"": ""sailing schedule: San Francisco 1796""}]",,draft,"Ogden-appendix parse artifact (2026-08-04): the harvest failed on ~12 OCR-garbled entry headers and attached their schedule lines to 'Loo Choo, 1847'. Ogden's actual entry (appendix txt, one voyage): left New York 26 Sep 1846, arrived San Francisco 26 Mar 1847, San Pedro 21 May, San Diego 21 Jun, left California July 1847. This row's year contradicts the entry (class 5 parse-garble)"
v0444,loo choo,Loo Choo,1796,1796,year,Monterey,alta,usa,inferred,otter,arrived,port-call?,1,"[Ogden itinerary] Loo Choo, 1847: Monterey 1796","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Loo Choo, 1847'"", ""note"": ""sailing schedule: Monterey 1796""}]",,draft,"Ogden-appendix parse artifact (2026-08-04): the harvest failed on ~12 OCR-garbled entry headers and attached their schedule lines to 'Loo Choo, 1847'. Ogden's actual entry (appendix txt, one voyage): left New York 26 Sep 1846, arrived San Francisco 26 Mar 1847, San Pedro 21 May, San Diego 21 Jun, left California July 1847. This row's year contradicts the entry (class 5 parse-garble)"
v0445,loo choo,Loo Choo,1796,1796,year,Loreto,baja,usa,inferred,otter,arrived,port-call?,1,"[Ogden itinerary] Loo Choo, 1847: Loreto 1796","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Loo Choo, 1847'"", ""note"": ""sailing schedule: Loreto 1796""}]",,draft,"Ogden-appendix parse artifact (2026-08-04): the harvest failed on ~12 OCR-garbled entry headers and attached their schedule lines to 'Loo Choo, 1847'. Ogden's actual entry (appendix txt, one voyage): left New York 26 Sep 1846, arrived San Francisco 26 Mar 1847, San Pedro 21 May, San Diego 21 Jun, left California July 1847. This row's year contradicts the entry (class 5 parse-garble)"
v0446,loo choo,Loo Choo,1796,1796,year,San Diego,alta,usa,inferred,otter,arrived,port-call?,1,"[Ogden itinerary] Loo Choo, 1847: San Diego 1796","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Loo Choo, 1847'"", ""note"": ""sailing schedule: San Diego 1796""}]",,draft,"Ogden-appendix parse artifact (2026-08-04): the harvest failed on ~12 OCR-garbled entry headers and attached their schedule lines to 'Loo Choo, 1847'. Ogden's actual entry (appendix txt, one voyage): left New York 26 Sep 1846, arrived San Francisco 26 Mar 1847, San Pedro 21 May, San Diego 21 Jun, left California July 1847. This row's year contradicts the entry (class 5 parse-garble)"
v0447,loo choo,Loo Choo,1796,1796,year,San Quintín,alta,usa,inferred,otter,arrived,port-call?,1,"[Ogden itinerary] Loo Choo, 1847: San Quintín 1796","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Loo Choo, 1847'"", ""note"": ""sailing schedule: San Quintín 1796""}]",,draft,"Ogden-appendix parse artifact (2026-08-04): the harvest failed on ~12 OCR-garbled entry headers and attached their schedule lines to 'Loo Choo, 1847'. Ogden's actual entry (appendix txt, one voyage): left New York 26 Sep 1846, arrived San Francisco 26 Mar 1847, San Pedro 21 May, San Diego 21 Jun, left California July 1847. This row's year contradicts the entry (class 5 parse-garble)"
v0448,loo choo,Loo Choo,1796,1796,year,San Blas,baja,usa,inferred,otter,arrived,port-call?,1,"[Ogden itinerary] Loo Choo, 1847: San Blas 1796","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Loo Choo, 1847'"", ""note"": ""sailing schedule: San Blas 1796""}]",,draft,"Ogden-appendix parse artifact (2026-08-04): the harvest failed on ~12 OCR-garbled entry headers and attached their schedule lines to 'Loo Choo, 1847'. Ogden's actual entry (appendix txt, one voyage): left New York 26 Sep 1846, arrived San Francisco 26 Mar 1847, San Pedro 21 May, San Diego 21 Jun, left California July 1847. This row's year contradicts the entry (class 5 parse-garble)"
v0449,loo choo,Loo Choo,1796,1796,year,Santa Bárbara,alta,usa,inferred,otter,arrived,port-call?,1,"[Ogden itinerary] Loo Choo, 1847: Santa Bárbara 1796","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Loo Choo, 1847'"", ""note"": ""sailing schedule: Santa Bárbara 1796""}]",,draft,"Ogden-appendix parse artifact (2026-08-04): the harvest failed on ~12 OCR-garbled entry headers and attached their schedule lines to 'Loo Choo, 1847'. Ogden's actual entry (appendix txt, one voyage): left New York 26 Sep 1846, arrived San Francisco 26 Mar 1847, San Pedro 21 May, San Diego 21 Jun, left California July 1847. This row's year contradicts the entry (class 5 parse-garble)"
v0813,loo choo,Loo Choo,1806,1806,year,San Diego,alta,usa,inferred,otter,arrived,port-call?,1,"[Ogden itinerary] Loo Choo, 1847: San Diego 1806","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Loo Choo, 1847'"", ""note"": ""sailing schedule: San Diego 1806""}]",,draft,"Ogden-appendix parse artifact (2026-08-04): the harvest failed on ~12 OCR-garbled entry headers and attached their schedule lines to 'Loo Choo, 1847'. Ogden's actual entry (appendix txt, one voyage): left New York 26 Sep 1846, arrived San Francisco 26 Mar 1847, San Pedro 21 May, San Diego 21 Jun, left California July 1847. This row's year contradicts the entry (class 5 parse-garble)"
v0814,loo choo,Loo Choo,1806,1806,year,San Francisco,alta,usa,inferred,otter,arrived,port-call?,1,"[Ogden itinerary] Loo Choo, 1847: San Francisco 1806","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Loo Choo, 1847'"", ""note"": ""sailing schedule: San Francisco 1806""}]",,draft,"Ogden-appendix parse artifact (2026-08-04): the harvest failed on ~12 OCR-garbled entry headers and attached their schedule lines to 'Loo Choo, 1847'. Ogden's actual entry (appendix txt, one voyage): left New York 26 Sep 1846, arrived San Francisco 26 Mar 1847, San Pedro 21 May, San Diego 21 Jun, left California July 1847. This row's year contradicts the entry (class 5 parse-garble)"
v0815,loo choo,Loo Choo,1806,1806,year,Santa Bárbara,alta,usa,inferred,otter,arrived,port-call?,1,"[Ogden itinerary] Loo Choo, 1847: Santa Bárbara 1806","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Loo Choo, 1847'"", ""note"": ""sailing schedule: Santa Bárbara 1806""}]",,draft,"Ogden-appendix parse artifact (2026-08-04): the harvest failed on ~12 OCR-garbled entry headers and attached their schedule lines to 'Loo Choo, 1847'. Ogden's actual entry (appendix txt, one voyage): left New York 26 Sep 1846, arrived San Francisco 26 Mar 1847, San Pedro 21 May, San Diego 21 Jun, left California July 1847. This row's year contradicts the entry (class 5 parse-garble)"
v0816,loo choo,Loo Choo,1806,1806,year,Monterey,alta,usa,inferred,otter,arrived,port-call?,1,"[Ogden itinerary] Loo Choo, 1847: Monterey 1806","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Loo Choo, 1847'"", ""note"": ""sailing schedule: Monterey 1806""}]",,draft,"Ogden-appendix parse artifact (2026-08-04): the harvest failed on ~12 OCR-garbled entry headers and attached their schedule lines to 'Loo Choo, 1847'. Ogden's actual entry (appendix txt, one voyage): left New York 26 Sep 1846, arrived San Francisco 26 Mar 1847, San Pedro 21 May, San Diego 21 Jun, left California July 1847. This row's year contradicts the entry (class 5 parse-garble)"
v0817,loo choo,Loo Choo,1806,1806,year,San Blas,baja,usa,inferred,otter,arrived,port-call?,1,"[Ogden itinerary] Loo Choo, 1847: San Blas 1806","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Loo Choo, 1847'"", ""note"": ""sailing schedule: San Blas 1806""}]",,draft,"Ogden-appendix parse artifact (2026-08-04): the harvest failed on ~12 OCR-garbled entry headers and attached their schedule lines to 'Loo Choo, 1847'. Ogden's actual entry (appendix txt, one voyage): left New York 26 Sep 1846, arrived San Francisco 26 Mar 1847, San Pedro 21 May, San Diego 21 Jun, left California July 1847. This row's year contradicts the entry (class 5 parse-garble)"
v0818,loo choo,Loo Choo,1806,1806,year,Loreto,baja,usa,inferred,otter,arrived,port-call?,1,"[Ogden itinerary] Loo Choo, 1847: Loreto 1806","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Loo Choo, 1847'"", ""note"": ""sailing schedule: Loreto 1806""}]",,draft,"Ogden-appendix parse artifact (2026-08-04): the harvest failed on ~12 OCR-garbled entry headers and attached their schedule lines to 'Loo Choo, 1847'. Ogden's actual entry (appendix txt, one voyage): left New York 26 Sep 1846, arrived San Francisco 26 Mar 1847, San Pedro 21 May, San Diego 21 Jun, left California July 1847. This row's year contradicts the entry (class 5 parse-garble)"
v0819,loo choo,Loo Choo,1806,1806,year,Bodega,alta,usa,inferred,otter,arrived,port-call?,1,"[Ogden itinerary] Loo Choo, 1847: Bodega 1806","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Loo Choo, 1847'"", ""note"": ""sailing schedule: Bodega 1806""}]",,draft,"Ogden-appendix parse artifact (2026-08-04): the harvest failed on ~12 OCR-garbled entry headers and attached their schedule lines to 'Loo Choo, 1847'. Ogden's actual entry (appendix txt, one voyage): left New York 26 Sep 1846, arrived San Francisco 26 Mar 1847, San Pedro 21 May, San Diego 21 Jun, left California July 1847. This row's year contradicts the entry (class 5 parse-garble)"
v0820,loo choo,Loo Choo,1806,1806,year,Fort Ross,alta,usa,inferred,otter,arrived,port-call?,1,"[Ogden itinerary] Loo Choo, 1847: Fort Ross 1806","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Loo Choo, 1847'"", ""note"": ""sailing schedule: Fort Ross 1806""}]",,draft,"Ogden-appendix parse artifact (2026-08-04): the harvest failed on ~12 OCR-garbled entry headers and attached their schedule lines to 'Loo Choo, 1847'. Ogden's actual entry (appendix txt, one voyage): left New York 26 Sep 1846, arrived San Francisco 26 Mar 1847, San Pedro 21 May, San Diego 21 Jun, left California July 1847. This row's year contradicts the entry (class 5 parse-garble)"
v0821,loo choo,Loo Choo,1806,1806,year,San Pedro,alta,usa,inferred,otter,arrived,port-call?,1,"[Ogden itinerary] Loo Choo, 1847: San Pedro 1806","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Loo Choo, 1847'"", ""note"": ""sailing schedule: San Pedro 1806""}]",,draft,"Ogden-appendix parse artifact (2026-08-04): the harvest failed on ~12 OCR-garbled entry headers and attached their schedule lines to 'Loo Choo, 1847'. Ogden's actual entry (appendix txt, one voyage): left New York 26 Sep 1846, arrived San Francisco 26 Mar 1847, San Pedro 21 May, San Diego 21 Jun, left California July 1847. This row's year contradicts the entry (class 5 parse-garble)"
v0822,loo choo,Loo Choo,1806,1806,year,San Luis Obispo,alta,usa,inferred,otter,arrived,port-call?,1,"[Ogden itinerary] Loo Choo, 1847: San Luis Obispo 1806","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Loo Choo, 1847'"", ""note"": ""sailing schedule: San Luis Obispo 1806""}]",,draft,"Ogden-appendix parse artifact (2026-08-04): the harvest failed on ~12 OCR-garbled entry headers and attached their schedule lines to 'Loo Choo, 1847'. Ogden's actual entry (appendix txt, one voyage): left New York 26 Sep 1846, arrived San Francisco 26 Mar 1847, San Pedro 21 May, San Diego 21 Jun, left California July 1847. This row's year contradicts the entry (class 5 parse-garble)"
v1307,loo choo,Loo Choo,1824,1824,year,Monterey,alta,usa,inferred,otter,arrived,port-call?,1,"[Ogden itinerary] Loo Choo, 1847: Monterey 1824","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Loo Choo, 1847'"", ""note"": ""sailing schedule: Monterey 1824""}]",,draft,"Ogden-appendix parse artifact (2026-08-04): the harvest failed on ~12 OCR-garbled entry headers and attached their schedule lines to 'Loo Choo, 1847'. Ogden's actual entry (appendix txt, one voyage): left New York 26 Sep 1846, arrived San Francisco 26 Mar 1847, San Pedro 21 May, San Diego 21 Jun, left California July 1847. This row's year contradicts the entry (class 5 parse-garble)"
v1308,loo choo,Loo Choo,1824,1824,year,San Francisco,alta,usa,inferred,otter,arrived,port-call?,1,"[Ogden itinerary] Loo Choo, 1847: San Francisco 1824","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Loo Choo, 1847'"", ""note"": ""sailing schedule: San Francisco 1824""}]",,draft,"Ogden-appendix parse artifact (2026-08-04): the harvest failed on ~12 OCR-garbled entry headers and attached their schedule lines to 'Loo Choo, 1847'. Ogden's actual entry (appendix txt, one voyage): left New York 26 Sep 1846, arrived San Francisco 26 Mar 1847, San Pedro 21 May, San Diego 21 Jun, left California July 1847. This row's year contradicts the entry (class 5 parse-garble)"
v1309,loo choo,Loo Choo,1824,1824,year,Santa Bárbara,alta,usa,inferred,otter,arrived,port-call?,1,"[Ogden itinerary] Loo Choo, 1847: Santa Bárbara 1824","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Loo Choo, 1847'"", ""note"": ""sailing schedule: Santa Bárbara 1824""}]",,draft,"Ogden-appendix parse artifact (2026-08-04): the harvest failed on ~12 OCR-garbled entry headers and attached their schedule lines to 'Loo Choo, 1847'. Ogden's actual entry (appendix txt, one voyage): left New York 26 Sep 1846, arrived San Francisco 26 Mar 1847, San Pedro 21 May, San Diego 21 Jun, left California July 1847. This row's year contradicts the entry (class 5 parse-garble)"
v1310,loo choo,Loo Choo,1824,1824,year,San Diego,alta,usa,inferred,otter,arrived,port-call?,1,"[Ogden itinerary] Loo Choo, 1847: San Diego 1824","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Loo Choo, 1847'"", ""note"": ""sailing schedule: San Diego 1824""}]",,draft,"Ogden-appendix parse artifact (2026-08-04): the harvest failed on ~12 OCR-garbled entry headers and attached their schedule lines to 'Loo Choo, 1847'. Ogden's actual entry (appendix txt, one voyage): left New York 26 Sep 1846, arrived San Francisco 26 Mar 1847, San Pedro 21 May, San Diego 21 Jun, left California July 1847. This row's year contradicts the entry (class 5 parse-garble)"
v1311,loo choo,Loo Choo,1824,1824,year,Fort Ross,alta,usa,inferred,otter,arrived,port-call?,1,"[Ogden itinerary] Loo Choo, 1847: Fort Ross 1824","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Loo Choo, 1847'"", ""note"": ""sailing schedule: Fort Ross 1824""}]",,draft,"Ogden-appendix parse artifact (2026-08-04): the harvest failed on ~12 OCR-garbled entry headers and attached their schedule lines to 'Loo Choo, 1847'. Ogden's actual entry (appendix txt, one voyage): left New York 26 Sep 1846, arrived San Francisco 26 Mar 1847, San Pedro 21 May, San Diego 21 Jun, left California July 1847. This row's year contradicts the entry (class 5 parse-garble)"
v1312,loo choo,Loo Choo,1824,1824,year,Santa Cruz,alta,usa,inferred,otter,arrived,port-call?,1,"[Ogden itinerary] Loo Choo, 1847: Santa Cruz 1824","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Loo Choo, 1847'"", ""note"": ""sailing schedule: Santa Cruz 1824""}]",,draft,"Ogden-appendix parse artifact (2026-08-04): the harvest failed on ~12 OCR-garbled entry headers and attached their schedule lines to 'Loo Choo, 1847'. Ogden's actual entry (appendix txt, one voyage): left New York 26 Sep 1846, arrived San Francisco 26 Mar 1847, San Pedro 21 May, San Diego 21 Jun, left California July 1847. This row's year contradicts the entry (class 5 parse-garble)"
v1313,loo choo,Loo Choo,1824,1824,year,San Juan Capistrano,alta,usa,inferred,otter,arrived,port-call?,1,"[Ogden itinerary] Loo Choo, 1847: San Juan Capistrano 1824","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Loo Choo, 1847'"", ""note"": ""sailing schedule: San Juan Capistrano 1824""}]",,draft,"Ogden-appendix parse artifact (2026-08-04): the harvest failed on ~12 OCR-garbled entry headers and attached their schedule lines to 'Loo Choo, 1847'. Ogden's actual entry (appendix txt, one voyage): left New York 26 Sep 1846, arrived San Francisco 26 Mar 1847, San Pedro 21 May, San Diego 21 Jun, left California July 1847. This row's year contradicts the entry (class 5 parse-garble)"
v1314,loo choo,Loo Choo,1824,1824,year,San Pedro,alta,usa,inferred,otter,arrived,port-call?,1,"[Ogden itinerary] Loo Choo, 1847: San Pedro 1824","[{""type"": ""ogden"", ""ref"": ""Ogden 1941, appendix s.v. 'Loo Choo, 1847'"", ""note"": ""sailing schedule: San Pedro 1824""}]",,draft,"Ogden-appendix parse artifact (2026-08-04): the harvest failed on ~12 OCR-garbled entry headers and attached their schedule lines to 'Loo Choo, 1847'. Ogden's actual entry (appendix txt, one voyage): left New York 26 Sep 1846, arrived San Francisco 26 Mar 1847, San Pedro 21 May, San Diego 21 Jun, left California July 1847. This row's year contradicts the entry (class 5 parse-garble)"
