garbled,vol,span,proposed,ship_context_hits,tier,note
Lfonor,III,1831-5,Leonor,5,CONFIRMED,appears repeatedly in a ship context in Bancroft III-V
Lnijramjf,IV,1841-5,Lagrange,0,UNRESOLVED,candidate not found in a ship context; reading unsupported
Martlta,IV,1841-5,Martha,0,UNRESOLVED,candidate not found in a ship context; reading unsupported
MathUde,V,1846-8,Mathilde,0,UNRESOLVED,candidate not found in a ship context; reading unsupported
MaynoVa,IV,1841-5,Magnolia,0,UNRESOLVED,candidate not found in a ship context; reading unsupported
Mcujruder,III,1831-5,Magruder,0,UNRESOLVED,candidate not found in a ship context; reading unsupported
MedkiM,IV,1841-5,Medicis,0,UNRESOLVED,candidate not found in a ship context; reading unsupported
Mntkar,IV,1841-5,Matador,1,plausible,"appears in a ship context, but only once or twice"
MoreloB,III,1831-5,Morelos,5,CONFIRMED,appears repeatedly in a ship context in Bancroft III-V
Niiifa,IV,1841-5,Ninfa,1,plausible,"appears in a ship context, but only once or twice"
OencralJackson,III,1831-5,General Jackson,0,UNRESOLVED,candidate not found in a ship context; reading unsupported
Pararjon,III,1825-30,Paragon,0,UNRESOLVED,candidate not found in a ship context; reading unsupported
Peraviiin,III,1825-30,Peruvian,1,plausible,"appears in a ship context, but only once or twice"
Pilrjrim,III,1831-5,Pilgrim,4,CONFIRMED,appears repeatedly in a ship context in Bancroft III-V
Poifcifla,III,1825-30,Rosalia,1,plausible,"appears in a ship context, but only once or twice"
PorahontciJi,III,1825-30,Pocahontas,5,CONFIRMED,appears repeatedly in a ship context in Bancroft III-V
PrescoU,V,1846-8,Prescott,0,UNRESOLVED,candidate not found in a ship context; reading unsupported
Prwuivera,IV,1841-5,Primavera,1,plausible,"appears in a ship context, but only once or twice"
Ruswll,IV,1841-5,Russell,14,AMBIGUOUS,reading is plausible but the word is common in Bancroft in other senses; hit count is not evidence of a vessel
Snnth,IV,1841-5,Smith,28,AMBIGUOUS,reading is plausible but the word is common in Bancroft in other senses; hit count is not evidence of a vessel
Soledtul,IV,1841-5,Soledad,13,CONFIRMED,appears repeatedly in a ship context in Bancroft III-V
Spy,V,1846-8,,0,NO CANDIDATE,no reading proposed; needs the printed page
Starling,V,1846-8,,0,NO CANDIDATE,no reading proposed; needs the printed page
SterUon,III,1831-5,Sterling,4,CONFIRMED,appears repeatedly in a ship context in Bancroft III-V
Sterling,V,1846-8,,0,NO CANDIDATE,no reading proposed; needs the printed page
Strrlimj,IV,1841-5,Sterling,4,CONFIRMED,appears repeatedly in a ship context in Bancroft III-V
Tranquilina,III,1831-5,,0,NO CANDIDATE,no reading proposed; needs the printed page
Trident,III,1825-30,,0,NO CANDIDATE,no reading proposed; needs the printed page
Valleyficid,IV,1841-5,Valleyfield,0,UNRESOLVED,candidate not found in a ship context; reading unsupported
WUmimjUm,III,1831-5,Wilmington,0,UNRESOLVED,candidate not found in a ship context; reading unsupported
Washinfjton,III,1825-30,Washington,14,AMBIGUOUS,reading is plausible but the word is common in Bancroft in other senses; hit count is not evidence of a vessel
WhUon,V,1846-8,Wilson,22,AMBIGUOUS,reading is plausible but the word is common in Bancroft in other senses; hit count is not evidence of a vessel
Whafeman,III,1825-30,Whaleman,3,CONFIRMED,appears repeatedly in a ship context in Bancroft III-V
Wilminfjton,III,1825-30,Wilmington,0,UNRESOLVED,candidate not found in a ship context; reading unsupported
